#no |       id                |typ| coord1                    |MagU |MagB |MagV    |MagR |MagI |  spectype   |bib|not
3  |* alf Cyg                |sg*|310.35797975 +45.28033881  | 1.11 | 1.34 | 1.25 | 1.14 | 1.04 |A2Ia           | 688|   0
4  |* alf CMa                |** |101.28715533 -16.71611586  |-1.51 |-1.46 |-1.46 |-1.46 |-1.43 |A1V+DA         |1236|   3
8  |* pi. Sgr                |** |287.44097053 -21.02361398  | 3.46 | 3.22 | 2.88 | 2.54 | 2.30 |F2II-III       | 122|   0
20 |* alf Aql                |dS*|297.69582730 +08.86832120  | 1.07 | 0.98 | 0.76 | 0.62 | 0.49 |A7Vn           | 747|   0
23 |* del CMa                |V* |107.09785021 -26.39319957  | 3.06 | 2.52 | 1.84 | 1.33 | 1.00 |F8Ia           | 315|   0
26 |* pi.03 Ori              |PM*|072.46004544 +06.96127453  | 3.620| 3.630| 3.190| 2.77 | 2.51 |F6V            | 483|   0
27 |* alf Leo                |PM*|152.09296244 +11.96720878  | 0.88 | 1.24 | 1.40 | 1.37 | 1.47 |B8IVn          | 737|   0
28 |* bet Tri                |SB*|032.38594634 +34.98729706  | 3.26 | 3.14 | 3.00 | 2.86 | 2.78 |A5III          | 189|   0
30 |* eps UMa                |a2*|193.50728997 +55.95982296  | 1.76 | 1.75 | 1.77 | 1.79 | 1.82 |A1III-IVpkB9   | 424|   0
31 |* bet Tau                |PM*|081.57297133 +28.60745172  | 1.03 | 1.52 | 1.65 | 1.66 | 1.76 |B7III          | 324|   1
33 |* zet Aql                |** |286.35253340 +13.86347728  | 2.99 | 3.00 | 2.99 | 2.98 | 2.98 |A0IV-Vnn       | 284|   0
35 |* eta UMa                |V* |206.88515734 +49.31326673  | 0.99 | 1.67 | 1.86 | 1.98 | 2.16 |B3V            | 553|   0
40 |* del Per                |Be*|055.73126774 +47.78754851  | 2.38 | 2.89 | 3.01 | 2.99 | 3.10 |B5III          | 293|   0
42 |* bet Aqr                |*  |322.88971548 -05.57117555  | 4.27 | 3.71 | 2.89 | 2.29 | 1.84 |G0Ib           | 411|   0
46 |* zet01 UMa              |SB*|200.981429 +54.925361      | 2.11 | 2.29 | 2.23 | 2.10 | 2.12 |A1.5Vas        | 281|   0
47 |* eps Hya                |BY*|131.69380097 +06.41880152  | 4.43 | 4.06 | 3.38 | 2.78 | 2.39 |G1III+A8V      | 230|   0
51 |* eta Oph                |** |257.59452871 -15.72490664  | 2.56 | 2.47 | 2.42 | 2.39 | 2.38 |A2IV-V         | 233|   0
52 |* eps Gem                |V* |100.98302608 +25.13112541  | 5.85 | 4.39 | 2.98 | 2.01 | 1.40 |G8Ib           | 368|   0
53 |* bet Per                |Al*|047.04221855 +40.95564668  | 1.70 | 2.07 | 2.12 | 2.08 | 2.11 |B8V            |1062|   2
56 |* alf Aqr                |*  |331.445983 -00.319850      | 4.65 | 3.90 | 2.94 | 2.27 | 1.76 |G2Ib           | 403|   0
58 |* tet Aur                |a2*|089.93029218 +37.21258463  | 2.36 | 2.54 | 2.62 | 2.62 | 2.68 |A0VpSi         | 245|   0
60 |* alf02 CVn              |a2*|194.00694257 +38.31837614  | 2.44 | 2.76 | 2.88 | 2.98 | 3.05 |A0VpSiEu       | 592|   0
62 |* del Cas                |Al*|021.45396446 +60.23528403  | 2.930| 2.810| 2.680| 2.53 | 2.44 |A5IV           | 228|   0
63 |* ksi Gem                |V* |101.32235133 +12.89559198  | 3.85 | 3.79 | 3.36 | 2.97 | 2.74 |F5IV-V         | 180|   0
65 |* gam Gem                |SB*|099.42796043 +16.39928043  | 1.98 | 1.92 | 1.92 | 1.86 | 1.87 |A1.5IV+        | 460|   0
66 |* alf CMi                |SB*|114.82549791 +05.22498756  | 0.82 | 0.79 | 0.37 |-0.05 |-0.28 |F5IV-V+DQZ     |1594|   1
68 |* del Ori                |Al*|083.00166706 -00.29909511  | 0.96 | 2.02 | 2.41 | 2.32 | 2.54 |B0III+O9V      | 695|   0
69 |* gam UMa                |Em*|178.45769715 +53.69475973  | 2.440| 2.450| 2.440| 2.44 | 2.47 |A0Ve+K2V       | 354|   0
75 |* bet Eri                |PM*|076.96243955 -05.08644597  | 3.02 | 2.92 | 2.79 | 2.65 | 2.57 |A3IV           | 188|   0
76 |* eps Aur                |Al*|075.49221855 +43.82330720  | 3.86 | 3.53 | 2.99 | 2.47 | 2.02 |A9Ia           | 525|   0
78 |* zet Per                |V* |058.53301032 +31.88363368  | 2.19 | 2.97 | 2.85 | 2.71 | 2.62 |B1Ib           | 762|   1
88 |* gam Boo                |dS*|218.01946582 +38.30825118  | 3.33 | 3.21 | 3.02 | 2.88 | 2.80 |A7IV+(n)       | 212|   0
90 |* gam Ori                |V* |081.28276356 +06.34970326  | 0.54 | 1.42 | 1.64 | 1.73 | 1.95 |B2V            | 470|   0
94 |* bet Lib                |V* |229.25172425 -09.38291441  | 2.14 | 2.51 | 2.62 | 2.67 | 2.76 |B8Vn           | 245|   0
100|* del Sco                |SB*|240.08335535 -22.62170643  | 1.30 | 2.20 | 2.32 | 2.36 | 2.49 |B0.3IV         | 639|   0
104|* alf Oph                |V* |263.73362272 +12.56003739  | 2.32 | 2.22 | 2.07 | 1.93 | 1.85 |A5III          | 412|   0
107|* alf Cep                |V* |319.64488470 +62.58557446  | 2.770| 2.680| 2.460| 2.22 | 2.11 |A8Vn           | 303|   0
108|* alf UMi                |cC*|037.95456067 +89.26410897  | 3.00 | 2.62 | 2.02 | 1.53 | 1.22 |F8Ib           | 544|   2
113|* gam Crv                |V* |183.95154504 -17.54193046  | 2.12 | 2.47 | 2.58 | 2.62 | 2.71 |B8III          | 214|   0
115|* eps CMa                |*  |104.65645315 -28.97208616  | 0.36 | 1.29 | 1.50 | 1.59 | 1.80 |B1.5II         | 430|   2
116|* alf Vir                |bC*|201.29824736 -11.16131949  |-0.20 | 0.74 | 0.97 | 1.06 | 1.30 |B1III-IV+...   | 774|   2
117|* tet UMa                |SB*|143.21430793 +51.67730032  | 3.67 | 3.64 | 3.18 | 2.74 | 2.47 |F7V            | 347|   1
118|* eta Cas                |SB*|012.27621124 +57.81518773  | 4.04 | 4.02 | 3.44 | 2.94 | 2.58 |F9V+M0-V       | 536|   0
119|* bet Ori                |s*b|078.63446707 -08.20163836  |-0.56 | 0.10 | 0.13 | 0.13 | 0.15 |B8Iae          | 693|   0
120|* bet CMi                |Be*|111.78767391 +08.28931576  | 2.52 | 2.80 | 2.89 | 2.90 | 2.96 |B8Ve           | 325|   0
121|* bet Lep                |** |082.06134649 -20.75944105  | 4.13 | 3.66 | 2.84 | 2.19 | 1.75 |G0II           | 217|   0
128|* kap Ori                |s*b|086.93912017 -09.66960492  | 0.87 | 1.88 | 2.06 | 2.09 | 2.27 |B0.5Ia         | 517|   0
